Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
NaZareth Soli Deo gloria,@balle_au_centre,2024-05-11T16:27:37.000Z,False,on chante la paix pour ne pas parler de guerre; cest quoi le probleme?,0,0,0,471,[],[],[],https://pbs.twimg.com/profile_images/1781933364657741824/sg1kBOyM_normal.jpg,https://x.com/balle_au_centre/status/1789331537495826541,tweet_id:1789331537495826541
Ali SAAD,@stabile1930,2024-05-11T16:27:59.000Z,False,"Il n’a pas à s’exprimer sur un pays étranger en conflit dont la CIJ statue sur des probables crimes de guerre !
Ce pays ne nous ressemble en RIEN! Et moins avec son gouvernement d’extrême droite !",0,0,0,99,[],[],[],https://pbs.twimg.com/profile_images/1382755562715295746/Tta5YlQM_normal.jpg,https://x.com/stabile1930/status/1789331628235395495,tweet_id:1789331628235395495
harleyaska,@heathensas,2024-05-11T16:46:18.000Z,False,voici la vraie vidéo ne croyez ce que raconte ce facho ,0,0,0,364,[],[],"['\\u274c', '\\u274c', '\\u274c', '\\u274c', '\\u274c', '\\u274c', '\\u274c']",https://pbs.twimg.com/profile_images/803862046823579648/jMrpKK40_normal.jpg,https://x.com/heathensas/status/1789336239604203682,tweet_id:1789336239604203682
Ds,@DaSilva60757,2024-05-11T16:52:25.000Z,False,"Je pense qu’il a eu raison. Franchement, politiser un concours de chant, c’est ridicule ! Tout ne tourne qu’autour de ce conflit. Si l’Israélienne doit gagner le concours, ça doit être en raison de sa prestation et non de la géopolitique actuelle.",0,0,0,539,[],[],[],https://pbs.twimg.com/profile_images/1770522245187698689/f_cFQdxc_normal.jpg,https://x.com/DaSilva60757/status/1789337778691391552,tweet_id:1789337778691391552
J'sais pas,@NikoMook78,2024-05-11T16:53:36.000Z,False,Aussi ringarde soit elle cette compétition est un divertissement pas un débat politique! Si il a pas envie de répondre ou est le pb? Franchement les fachos vous nous cassez les couilles avec votre soutien à l'entité! Allez vivre là-bas et épargnez nous vos tweet dégoulinant,0,0,0,112,[],[],[],https://pbs.twimg.com/profile_images/1790428555144278016/pYl8PB9T_normal.jpg,https://x.com/NikoMook78/status/1789338077216829444,tweet_id:1789338077216829444
Ahmed Bendella,@AhmedBendella4,2024-05-11T16:32:08.000Z,False,Ah bon donc nous devons soutenir un Etat génocidaire pauvre type si toi l égyptien qui est devenu le bouffon du roi tu t agenouillés face à ces criminels c est ton affaire mais laisse les autres tranquille,0,0,0,50,[],[],[],https://pbs.twimg.com/profile_images/1463174275632820224/EuWitz90_normal.png,https://x.com/AhmedBendella4/status/1789332674168946781,tweet_id:1789332674168946781
@jamhoneymood,@jamhoneymood,2024-05-11T16:32:57.000Z,False,"Les organisations mafieuses sionistes que vous défendez monsieur utilisent le chantage et l'intimidation pour réduire au silence toute forme d'opposition. Elles peuvent menacer les individus, les entreprises ou même les institutions publiques avec des conséquences graves.",0,0,0,72,[],[],[],https://pbs.twimg.com/profile_images/1284112697131499521/IJJuwNVT_normal.jpg,https://x.com/jamhoneymood1/status/1789332880381956348,tweet_id:1789332880381956348
Libertad,@pepitomillo,2024-05-11T16:34:13.000Z,False,Il a peut être la trouille de se faire disqualifier comme le néerlandais qui a pris partie pour Gaza ... https://europe1.fr/international/eurovision-le-concurrent-neerlandais-prive-de-repetition-4246320…,0,0,0,129,[],[],['\\U0001f447'],https://pbs.twimg.com/profile_images/1647052821471133696/d7VGmNyz_normal.jpg,https://x.com/pepitomillo/status/1789333200470196408,tweet_id:1789333200470196408
Constand de la Roche Guyot,@ConstanRocheG,2024-05-11T16:55:49.000Z,False,Il a eu raison de pas répondre ,0,0,0,48,[],[],['\\U0001f44d'],https://pbs.twimg.com/profile_images/1756806149951598592/KDq06eU1_normal.jpg,https://x.com/ConstanRocheG/status/1789338635579621863,tweet_id:1789338635579621863
Libréo Christine,@LibreoC,2024-05-11T16:58:53.000Z,False,Faire comme lui.......faire comme si il n'existez pas....je vote Israel ce soir........,0,0,0,269,[],[],[],https://pbs.twimg.com/profile_images/1235120985441005569/_12vWvi4_normal.jpg,https://x.com/LibreoC/status/1789339405263495352,tweet_id:1789339405263495352
Michaël WL Mazard,@MazmikeBerry,2024-05-11T16:59:07.000Z,False,"C'est sûr que ce n'est pas vous qui allait soutenir Slimane. Interview tronqué, une autre question a été posée avant. Il a chanté en duo avec une concurrente étant d'origine Israël, sans oublier que ceux qui ont écrit et composé la chanson sont Slimane, ainsi que",0,0,0,1.1K,[],[],[],https://pbs.twimg.com/profile_images/1729271499083706369/ZgF_XAwC_normal.jpg,https://x.com/MazmikeBerry/status/1789339463358816746,tweet_id:1789339463358816746
Lulu,@luluforreal_,2024-05-11T17:23:56.000Z,False,"Il a juste pas compris parce qu'il parle pas un mot d'anglais espèce d'imbécile il a dit ""merci beaucoup"" y'a aucune haine.",0,0,0,87,[],[],[],https://pbs.twimg.com/profile_images/1665491208490065920/hrCMIflR_normal.jpg,https://x.com/luluforreal_/status/1789345710669717777,tweet_id:1789345710669717777
chabine972,@tyaaaa_f,2024-05-11T17:34:39.000Z,False, pk vous allez pas vivre en ISRAËL hein ! ,0,0,0,8,[],['@JeanMessiha'],"['\\U0001f602', '\\U0001f602', '\\U0001f602']",https://pbs.twimg.com/profile_images/1749880982553948160/bg6YQDx4_normal.jpg,https://x.com/tyaaaa_f/status/1789348407460393216,tweet_id:1789348407460393216
Nan',@camlouloute,2024-05-11T17:39:14.000Z,False,,0,0,0,80,[],[],[],https://pbs.twimg.com/profile_images/936658280394485760/Jo4qEdDv_normal.jpg,https://x.com/camlouloute/status/1789349559564390468,tweet_id:1789349559564390468
Frederick,@Fredonthetweet,2024-05-11T18:05:52.000Z,False,"Il manque la version longue !
Sur la version longue il’y a une première question ou il dit que la chanteuse Israélienne est une belle artiste et quel a du talent !",0,0,0,227,[],[],[],https://pbs.twimg.com/profile_images/1047379972510420992/wm-9rgN5_normal.jpg,https://x.com/Fredonthetweet/status/1789356264167727260,tweet_id:1789356264167727260
Julian Wytyc,@JulianWytyc,2024-05-11T18:17:53.000Z,False,"Ce qui me gêne aussi chez#Slimane de l'#Eurovision2024c'est sa coupe de cheveux.
Ce raté d'appropriation culturelle,
c'est juste insultant pour les afros
et en plus ça ne lui va pas du tout.",0,0,0,864,"['#Slimane', '#Eurovision2024']",[],[],https://pbs.twimg.com/profile_images/1786508611746770944/d1NaCYbJ_normal.jpg,https://x.com/JulianWytyc/status/1789359288357437855,tweet_id:1789359288357437855
Fernand Naudin,@monsieurnaudin,2024-05-11T18:28:20.000Z,False,"Le  finira avant dernier avec ses textes écrits par un ado de 15 ans mais chiounera demain au “racisme”…etc. Plus facile que d’avoir du talent et de la personnalité!
Il finira comme un énième  chroniqueur émasculé sur une chaîne de la TNT à gagner 3 francs 6 sous.",0,0,0,2.6K,[],['@Slimaneoff'],[],https://pbs.twimg.com/profile_images/1582159565952622593/9iLrrHyr_normal.jpg,https://x.com/monsieurnaudin/status/1789361916336341172,tweet_id:1789361916336341172
Georgette3447,@georgette3447,2024-05-11T17:01:13.000Z,False,Si éliminé trompe le peuple il trompe Dieu,0,0,0,17,[],[],[],https://pbs.twimg.com/profile_images/1521931308229931009/nMDgNu9l_normal.jpg,https://x.com/georgette3447/status/1789339993170714773,tweet_id:1789339993170714773
Adawong,@beatinice,2024-05-11T17:06:08.000Z,False,Ferme ta grande gueule ! C’est le mec le plus intègre qu’on connaisse ! Les facho ne sont même pas fichus de défendre notre pays ! Ils cassent la France et celui qui le représente ! Vous faites honte,0,0,0,23,[],[],[],https://pbs.twimg.com/profile_images/1713647569593647104/xguPJhes_normal.jpg,https://x.com/beatinice/status/1789341229710287202,tweet_id:1789341229710287202
Gaucho Folinho,@GFolinho,2024-05-11T17:08:06.000Z,False,,0,0,0,10,[],[],[],https://pbs.twimg.com/profile_images/1394170840686735361/gzlLKHE8_normal.jpg,https://x.com/GFolinho/status/1789341727662174519,tweet_id:1789341727662174519
gokuu,@kogaaaa13,2024-05-11T16:58:26.000Z,False,Pourquoi tu le soutiens pas il est français? donc tu soutiens Israël avant la France ,0,0,0,14,[],[],"['\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921', '\\U0001f921']",https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://x.com/kogaaaa13/status/1789339292814229682,tweet_id:1789339292814229682
Diver Bob,@Scaramanga06,2024-05-11T16:58:46.000Z,False,Sois rassuré jeannot t es amis manifestent cet après midi en soutient,0,0,0,3,[],[],[],https://pbs.twimg.com/profile_images/1641554921085337604/fAzN8rE-_normal.jpg,https://x.com/Scaramanga06/status/1789339377685918053,tweet_id:1789339377685918053
Anonyme1,@DavJames01,2024-05-11T17:04:31.000Z,False,Nous n'avons pas à nous soumettre au sionisme comme vous l'avez fait.,0,0,0,3,[],[],[],https://pbs.twimg.com/profile_images/1779949385134075904/Pw1C-e91_normal.jpg,https://x.com/DavJames01/status/1789340822581686309,tweet_id:1789340822581686309
ENZO S,@EnzoSMusic,2024-05-11T17:42:11.000Z,False,Mais Hossam il faut vraiment arreter d’avoir le baton chretien des arabes dans le cul c’est fou quand meme! “Comment faire la paix avec des gens qui nient que vous existez?” Va demander ca a Bibi connard.,0,0,0,55,[],[],[],https://pbs.twimg.com/profile_images/1592201334824001536/LzSZ_7i-_normal.jpg,https://x.com/EnzoSMusic/status/1789350303503987108,tweet_id:1789350303503987108
Laya,@LaYaa213,2024-05-11T17:46:33.000Z,False,Voter pour #Israel c'est voter contre la France.#Slimane  #Eurovision2024,0,0,0,32,"['#Israel', '#Slimane', '#Eurovision2024']",[],"['\\U0001f499', '\\U0001f90d', '\\u2764']",https://pbs.twimg.com/profile_images/1702793146365628416/LH72GMpx_normal.jpg,https://x.com/LaYaa213/status/1789351401799258158,tweet_id:1789351401799258158
Bndct Kabongo,@BndctKabongo,2024-05-11T17:47:29.000Z,False,Le Futur de la France,0,0,0,14,[],[],[],https://pbs.twimg.com/profile_images/1525100076116353024/8r1PkJ-R_normal.jpg,https://x.com/BndctKabongo/status/1789351637447762387,tweet_id:1789351637447762387
Nénette,@bienlebonjour47,2024-05-11T17:30:30.000Z,False,Guignol !!!! ,0,0,0,86,[],[],"['\\U0001f923', '\\U0001f602', '\\U0001f923', '\\U0001f602']",https://pbs.twimg.com/profile_images/1754458366489829376/HomSt0Ih_normal.png,https://x.com/bienlebonjour47/status/1789347361904374146,tweet_id:1789347361904374146
Foued Mekki,@MekkiFoued36217,2024-05-11T17:31:37.000Z,False,"15 000 enfants tués !!?
Continue de nier toi aussi ! Double face !!",0,0,0,10,[],[],[],https://pbs.twimg.com/profile_images/1649390555481223170/TH1CJncM_normal.png,https://x.com/MekkiFoued36217/status/1789347642478137353,tweet_id:1789347642478137353
CHEMIN POL,@PolChemin,2024-05-11T17:47:39.000Z,False,https://voici.fr/news-people/le-symbole-dune-republique-qui-tue-nos-freres-slimane-reagit-a-la-mort-de-nahel-760453…,0,0,0,40,[],[],[],https://pbs.twimg.com/profile_images/1477993746608402432/F4xaaYFg_normal.jpg,https://x.com/PolChemin/status/1789351679848304874,tweet_id:1789351679848304874
WARNER,@WARNER110412433,2024-05-11T17:56:34.000Z,False,"Slimane n’a pas à répondre à des questions de géopolitique, ce n’est pas son job ! 
Vive nos artistes FRANÇAIS ! Vive Slimane !",0,0,0,23,[],[],[],https://pbs.twimg.com/profile_images/1784366530286817280/K-vtN_Gh_normal.jpg,https://x.com/WARNER110412433/status/1789353922957651980,tweet_id:1789353922957651980
SO FI,@sofi31220,2024-05-11T17:56:58.000Z,False,Laissez Slimane tranquille ,0,0,0,169,[],[],['\\u270b'],https://pbs.twimg.com/profile_images/1786091004547809280/8AykJQ0u_normal.jpg,https://x.com/sofi31220/status/1789354023562162407,tweet_id:1789354023562162407
Relax Onthemoon,@Relaxonthemoon9,2024-05-11T17:57:02.000Z,False,TG l Égyptien retourne chez toi au pays des chameaux,0,0,0,2,[],[],[],https://pbs.twimg.com/profile_images/1776914813806837761/-y_h_foi_normal.jpg,https://x.com/Relaxonthemoon9/status/1789354042184896567,tweet_id:1789354042184896567
michel vighi,@MichelVighi,2024-05-11T18:15:26.000Z,False,"Jean vous me decevez beaucoup,branchez vous sur Cnews et regardez l’integralite de la sequence",0,0,0,6,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1647887725280874498/RCjltsY2_normal.jpg,https://x.com/MichelVighi/status/1789358672457396388,tweet_id:1789358672457396388
Bluesky,@Bluesky43587801,2024-05-11T18:16:14.000Z,False,Avant de parler il faut voir la vidéo en entier ce qui contredit votre message de division comme d habitude,0,0,0,1,[],[],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://x.com/Bluesky43587801/status/1789358872139882939,tweet_id:1789358872139882939
Rudolphe,@RudolpheFur6,2024-05-11T18:16:15.000Z,False,La seul paix possible avec les colons juifs en Palestine occupé et ceux qui soutiennent le massacre de milliers de gazaouis comme toi la voilà ,0,0,0,7,[],[],['\\U0001f447'],https://pbs.twimg.com/profile_images/1778787340372037632/pmkvOjIK_normal.jpg,https://x.com/RudolpheFur6/status/1789358877835731021,tweet_id:1789358877835731021
NOWATZKI. Stephan,@NowatzkiS,2024-05-11T18:24:54.000Z,False,"Que vient faire Slimane dans tout ça ? Laissez tous ces chanteurs tranquilles , pas de politique … merci",0,0,0,15,[],[],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://x.com/NowatzkiS/status/1789361051424653799,tweet_id:1789361051424653799
Chaostao,@Chaostao1,2024-05-11T18:30:25.000Z,False,"Lol un partisan de zemmour donc de petain tu vas te faire passer pour un pro Israël. 
Le seul français qui a été condamné à l' indignité nationale.
N oublies jamais les racines du mal qui te ronge.",0,0,0,20,[],[],[],https://pbs.twimg.com/profile_images/1451599096905666562/troE5hVJ_normal.jpg,https://x.com/Chaostao1/status/1789362441366737311,tweet_id:1789362441366737311
M-rie,@Babe025Henri,2024-05-11T18:30:33.000Z,True,"Quarante-huit heures après la publication du rapport de Human Rights Watch révélant l'ampleur des massacres commis par les populations arabes contre les populations noires au Soudan, toujours pas de réaction de @RimaHas et sa clique, peut-être que pour ces gens il y a le bon",0,0,0,10,[],[],[],https://pbs.twimg.com/profile_images/1662678378216914945/z8K85U30_normal.jpg,https://x.com/Babe025Henri/status/1789362474489204856,tweet_id:1789362474489204856
Alex Bitcoin,@AlexBitcoin19,2024-05-11T22:22:56.000Z,False,Un vrai Slimane force a lui ,0,0,0,361,[],[],"['\\U0001f607', '\\U0001f64f', '\\U0001f44d', '\\U0001f1f5\\U0001f1f8', '\\U0001f1f5\\U0001f1f8', '\\U0001f1f5\\U0001f1f8', '\\U0001f1f5\\U0001f1f8']",https://pbs.twimg.com/profile_images/1602072078538137600/ETiXg7II_normal.png,https://x.com/AlexBitcoin19/status/1789420956554842214,tweet_id:1789420956554842214
Ragnar Lothbrok ‍,@VikingBerychon,2024-05-12T01:46:49.000Z,False,"Slimane, je peux pas le voir ce mec...

Le mec il est chanteur et il vient se mêler sur des sujets politiques et sociétaux 

Mais de quoi je me mêle ?...

T'es chanteur, on te demande de chanter, on te demande pas de te mêler de la politique et de donner ton avis sur la politique",0,0,0,271,[],[],[],https://pbs.twimg.com/profile_images/1498337999720960009/UCrDYtIn_normal.jpg,https://x.com/VikingBerychon/status/1789472265370759176,tweet_id:1789472265370759176
Cecilia Magalhaes,@CeciliaMagalh18,2024-05-12T05:49:34.000Z,False,Gros timbré la vidéo n'est pas complète.,0,0,0,17,[],[],[],https://pbs.twimg.com/profile_images/1528447144151158785/83bARaDT_normal.jpg,https://x.com/CeciliaMagalh18/status/1789533355916087518,tweet_id:1789533355916087518
nathalie dulorier,@nathaliedu83140,2024-05-11T18:40:19.000Z,False,Un algérien pas étonnant !,0,0,0,5,[],[],[],https://pbs.twimg.com/profile_images/1691561901912727552/cOaXPCik_normal.png,https://x.com/nathaliedu83140/status/1789364934880399547,tweet_id:1789364934880399547
illuhe,@illuhe1,2024-05-11T18:41:31.000Z,False,ouai enfin jean messiha j ai envie de dire tu nous fais quoi la ? au depart c est israel les mechants hein,0,0,0,8,[],[],[],https://pbs.twimg.com/profile_images/1496120253084053510/0Wkb0cOz_normal.jpg,https://x.com/illuhe1/status/1789365236358643917,tweet_id:1789365236358643917
Antoine Durand,@JeanDurand085,2024-05-11T18:41:43.000Z,False,"Vous êtes à côté de la plaque. Dans cette vidéo tronquée, il dit des compliments sur cette chanteuse israélienne ; il a par ailleurs des Juifs dans son équipe, il est l'antithèse d'un antisémite.",0,0,0,21,[],[],[],https://pbs.twimg.com/profile_images/1750123577699897344/nd--BamU_normal.jpg,https://x.com/JeanDurand085/status/1789365284093976616,tweet_id:1789365284093976616
Kemton,@AKemton,2024-05-11T19:22:06.000Z,False,Elle va se prendre une raclée,0,0,0,6,[],[],[],https://pbs.twimg.com/profile_images/720619479516987392/kD2qP42j_normal.jpg,https://x.com/AKemton/status/1789375447681101873,tweet_id:1789375447681101873
Klafouty67,@klafouty67,2024-05-11T19:34:03.000Z,False,"C’est bien dommage, j’aimais beaucoup ce jeune homme avec sa belle voix,, mais là il m’a déçue …",0,0,0,91,[],[],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://x.com/klafouty67/status/1789378454091133074,tweet_id:1789378454091133074
Rash RED,@REDRash2,2024-05-11T19:34:42.000Z,False,Tu as raison  tous contre la France à l'Eurovision !! Bravo a toi  (Du grand n'importe quoi encore une fois !!),0,0,0,171,[],['@JeanMessiha'],"['\\U0001f44f', '\\U0001f44f']",https://pbs.twimg.com/profile_images/1113542898425978880/38Z_IO-9_normal.jpg,https://x.com/REDRash2/status/1789378618159681913,tweet_id:1789378618159681913
Ribeiro Gabriel,@RibeiroGab83,2024-05-11T19:35:21.000Z,False,Slimane ne veut juste pas prendre de camps laissez le tranquille bordel,0,0,0,131,[],[],[],https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://x.com/RibeiroGab83/status/1789378781423038635,tweet_id:1789378781423038635
Morisson Julien,@jullu2002,2024-05-11T19:36:00.000Z,False,"Vous n’avez pas tout les éléments Monsieur, manifestement Slimane a délivré un très beau message aujourd’hui, soutenons le. Franchement, il semble être un artiste très sympa en plus ^",0,0,0,176,[],[],[],https://pbs.twimg.com/profile_images/1492850975614320642/zVJ0gs08_normal.jpg,https://x.com/jullu2002/status/1789378948024934858,tweet_id:1789378948024934858
LA TRIPLETTA,@loulouCIV,2024-05-11T19:36:17.000Z,False,Ça doit être épuisant d'être vous hein toujours a courrir là ou on vous ne sonne pas !,0,0,0,26,[],[],[],https://pbs.twimg.com/profile_images/1388116602428788743/bCS-V1b8_normal.jpg,https://x.com/loulouCIV/status/1789379017948238041,tweet_id:1789379017948238041
Carlos,@Carlos212543552,2024-05-11T18:16:38.000Z,False,No todos los extremeños somos como este mendrugo,0,0,0,415,[],[],[],https://pbs.twimg.com/profile_images/1770933657689042944/Dy5OQbFb_normal.jpg,https://x.com/Carlos212543552/status/1789358971720970558,tweet_id:1789358971720970558
Manel Márquez,@manelmarquez,2024-05-11T18:17:54.000Z,False,Pues mira paisano lo que acaba de decir Soraya.,0,0,0,429,[],[],[],https://pbs.twimg.com/profile_images/1793542777747251200/By1I4ooF_normal.jpg,https://x.com/manelmarquez/status/1789359292308390015,tweet_id:1789359292308390015
J L,@jlmmhg,2024-05-11T17:23:22.000Z,False,Pienso que debería ser neutral.,0,0,0,457,[],[],[],https://pbs.twimg.com/profile_images/1091034078739079171/T-cRhhLJ_normal.jpg,https://x.com/jlmmhg/status/1789345569745363034,tweet_id:1789345569745363034
AMCuriel,@LCDBASKET,2024-05-11T20:00:16.000Z,False,"free palestine free palestine
FREE PALESTINE y MIL CEXES MÁS ",0,0,0,76,[],['@juanmafdez'],[],https://pbs.twimg.com/profile_images/1592196321359839233/aX7kW5Cb_normal.jpg,https://x.com/LCDBASKET/status/1789385052171681847,tweet_id:1789385052171681847
¿congo o carabalí?,@mostrenco2,2024-05-11T20:05:14.000Z,False,"Para conocimiento de   , todavía quedan periodistas españoles con dignidad  y vergüenza.#BoicotEurovision2024",0,0,0,655,['#BoicotEurovision2024'],['@eurovision_tve'],[],https://pbs.twimg.com/profile_images/1794255410620174336/HtsAG9Wt_normal.jpg,https://x.com/mostrenco2/status/1789386303915565186,tweet_id:1789386303915565186
Vanina Biasi,@vaninabiasi,2024-05-11T20:01:23.000Z,False,"Fuerza Juan! Eso es lo que necesita el mundo, valientes que alcen la voz para terminar con el genocidio palestino. Estamos con vos!",0,0,0,139,[],[],[],https://pbs.twimg.com/profile_images/1716655983110356992/SPPE8cS9_normal.jpg,https://x.com/vaninabiasi/status/1789385333416608142,tweet_id:1789385333416608142
peperonistar,@peperonistar,2024-05-11T19:47:02.000Z,False,"Lo que hay que hacer para salir en lo medios, payaso….no hagas cara de víctima que no cuela.",0,0,0,36,[],[],[],https://pbs.twimg.com/profile_images/1482293135791243264/sAddYoLS_normal.jpg,https://x.com/peperonistar/status/1789381720929653143,tweet_id:1789381720929653143
Sergio Ramos 93,@RobertoMartnVi1,2024-05-12T00:24:01.000Z,False,Se lo merece por defender a terroristas islamistas como son los palestinos,0,0,0,21,[],[],[],https://pbs.twimg.com/profile_images/1311689686381928460/X4l6kp2P_normal.jpg,https://x.com/RobertoMartnVi1/status/1789451426269155816,tweet_id:1789451426269155816
Chari Fuertes Melero,@ChariFuertes,2024-05-11T19:44:20.000Z,False,https://lasexta.com/noticias/cultura/moroccanoil-empresa-israel-que-patrocina-eurovision-2024-tercer-ano-consecutivo_20240510663e35bac0b95c00017ee2c3.html…,0,0,0,99,[],[],[],https://pbs.twimg.com/profile_images/1364232408560721921/gW93y744_normal.jpg,https://x.com/ChariFuertes/status/1789381045235732488,tweet_id:1789381045235732488
"Encarna Ruiz@aprendiz de mucho, maestra de nada","Encarna Ruiz@aprendiz de mucho, maestra de nada",2024-05-11T19:27:21.000Z,True,HIND’S HALL. Once it’s up on streaming all proceeds to UNRWA.,0,0,0,38,[],[],[],https://pbs.twimg.com/profile_images/1626715052861493248/gyfH24HQ_normal.jpg,https://x.com/Encarna12969175/status/1789376770300326288,tweet_id:1789376770300326288
Mara,@oviovaovo,2024-05-11T17:43:56.000Z,False,Gracias  ! Gracias por expresar lo que tantos pensamos!!! ,0,0,0,106,[],['@juanmafdez'],['\\u2764\\ufe0f'],https://pbs.twimg.com/profile_images/1657375029716287488/sWZwT3xR_normal.jpg,https://x.com/oviovaovo/status/1789350742018449590,tweet_id:1789350742018449590
sjachor,@jahalomsjachor,2024-05-11T18:33:41.000Z,False,"This pissant is crying he’s “never felt so unsafe” at Eurovision for being ‘scolded’. Poor flower.

Meanwhile outside 10,000 pro-Hamas nutters chant for the destruction of Israel as Mr  (boy, is he in for a shock) screams at a 20 year old inside.

Sit down, you bald fraud.",0,0,0,192,[],[],"['\\U0001f3f3\\ufe0f\\u200d\\U0001f308', '\\U0001f53b', '\\U0001f1f5\\U0001f1f8']",https://pbs.twimg.com/profile_images/1730866442822696960/q1nbJUHP_normal.jpg,https://x.com/jahalomsjachor/status/1789363263215403209,tweet_id:1789363263215403209
Teatre Pa'tothom,@patothom,2024-05-12T05:18:32.000Z,False,#FreePalestine #BoicotEurovision #BoicotIsrael #BoycottEurovision2024,0,0,0,51,"['#FreePalestine', '#BoicotEurovision', '#BoicotIsrael', '#BoycottEurovision2024']",[],[],https://pbs.twimg.com/profile_images/748262393/logo_luna_sola_bn_m_s_definici_n_normal.JPG,https://x.com/patothom/status/1789525547036356960,tweet_id:1789525547036356960
